Date, Instance, Algorithm, RandSeed, Duration, IterCount, GenerationCount, Optima, Solution
2014-11-08 Sat 18:14:49, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441689, 0.008, 2475, 0, 0, (5)4 4 1 1 3 3 0 0 2 0 0 2 2 4 4 1 1 4 4 3 1 3 1 3 4 0 0 0 2 2 4 2 2 0 0 2 0 0 1 3 2 1 1 1 0 3 4 2 4 0 3 3 3 0 3 2 3 2 2 0 0 4 4 4 4 1 2 2 0 1 4 4 1 3 0 1 1 2 2 0 2 4 4 0 1 0 2 4 1 2 1 2 3 3 4 3 4 3 3 3 3 4 3 2 3 2 2 0 2 3 1 4 2 2 0 3 2 4 1 2 1 4 0 1 2 
2014-11-08 Sat 18:14:49, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441689, 0.009, 2475, 0, 0, (5)4 4 1 1 3 3 0 0 2 0 0 2 2 4 4 1 1 4 4 3 1 3 1 3 4 0 0 0 2 2 4 2 2 0 0 2 0 0 1 3 2 1 1 1 0 3 4 2 4 0 3 3 3 0 3 2 3 2 2 0 0 4 4 4 4 1 2 2 0 1 4 4 1 3 0 1 1 2 2 0 2 4 4 0 1 0 2 4 1 2 1 2 3 3 4 3 4 3 3 3 3 4 3 2 3 2 2 0 2 3 1 4 2 2 0 3 2 4 1 2 1 4 0 1 2 
2014-11-08 Sat 18:14:49, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441689, 0.017, 2475, 0, 0, (5)4 4 1 1 3 3 0 0 2 0 0 2 2 4 4 1 1 4 4 3 1 3 1 3 4 0 0 0 2 2 4 2 2 0 0 2 0 0 1 3 2 1 1 1 0 3 4 2 4 0 3 3 3 0 3 2 3 2 2 0 0 4 4 4 4 1 2 2 0 1 4 4 1 3 0 1 1 2 2 0 2 4 4 0 1 0 2 4 1 2 1 2 3 3 4 3 4 3 3 3 3 4 3 2 3 2 2 0 2 3 1 4 2 2 0 3 2 4 1 2 1 4 0 1 2 
2014-11-08 Sat 18:14:49, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441689, 0.011, 2475, 0, 0, (5)4 4 1 1 3 3 0 0 2 0 0 2 2 4 4 1 1 4 4 3 1 3 1 3 4 0 0 0 2 2 4 2 2 0 0 2 0 0 1 3 2 1 1 1 0 3 4 2 4 0 3 3 3 0 3 2 3 2 2 0 0 4 4 4 4 1 2 2 0 1 4 4 1 3 0 1 1 2 2 0 2 4 4 0 1 0 2 4 1 2 1 2 3 3 4 3 4 3 3 3 3 4 3 2 3 2 2 0 2 3 1 4 2 2 0 3 2 4 1 2 1 4 0 1 2 
2014-11-08 Sat 18:14:50, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441689, 0.012, 2475, 0, 0, (5)4 4 1 1 3 3 0 0 2 0 0 2 2 4 4 1 1 4 4 3 1 3 1 3 4 0 0 0 2 2 4 2 2 0 0 2 0 0 1 3 2 1 1 1 0 3 4 2 4 0 3 3 3 0 3 2 3 2 2 0 0 4 4 4 4 1 2 2 0 1 4 4 1 3 0 1 1 2 2 0 2 4 4 0 1 0 2 4 1 2 1 2 3 3 4 3 4 3 3 3 3 4 3 2 3 2 2 0 2 3 1 4 2 2 0 3 2 4 1 2 1 4 0 1 2 
2014-11-08 Sat 18:14:50, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.007, 1831, 0, 0, (5)2 1 1 2 3 3 0 0 0 2 4 0 0 1 1 1 0 3 1 2 3 1 2 1 3 0 2 3 0 4 3 2 1 1 2 0 4 4 2 3 4 2 3 4 4 4 1 0 1 0 1 2 0 2 4 0 2 3 0 4 4 3 3 1 2 2 0 4 4 4 1 1 3 1 0 0 2 0 3 3 0 2 1 4 4 3 3 3 0 2 2 0 3 3 1 1 0 3 3 2 1 1 3 2 4 0 0 0 2 3 1 4 3 0 4 3 4 1 2 0 0 3 4 0 0 
2014-11-08 Sat 18:14:50, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.011, 1831, 0, 0, (5)2 1 1 2 3 3 0 0 0 2 4 0 0 1 1 1 0 3 1 2 3 1 2 1 3 0 2 3 0 4 3 2 1 1 2 0 4 4 2 3 4 2 3 4 4 4 1 0 1 0 1 2 0 2 4 0 2 3 0 4 4 3 3 1 2 2 0 4 4 4 1 1 3 1 0 0 2 0 3 3 0 2 1 4 4 3 3 3 0 2 2 0 3 3 1 1 0 3 3 2 1 1 3 2 4 0 0 0 2 3 1 4 3 0 4 3 4 1 2 0 0 3 4 0 0 
2014-11-08 Sat 18:14:50, DSJC125.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.013, 1831, 0, 0, (5)2 1 1 2 3 3 0 0 0 2 4 0 0 1 1 1 0 3 1 2 3 1 2 1 3 0 2 3 0 4 3 2 1 1 2 0 4 4 2 3 4 2 3 4 4 4 1 0 1 0 1 2 0 2 4 0 2 3 0 4 4 3 3 1 2 2 0 4 4 4 1 1 3 1 0 0 2 0 3 3 0 2 1 4 4 3 3 3 0 2 2 0 3 3 1 1 0 3 3 2 1 1 3 2 4 0 0 0 2 3 1 4 3 0 4 3 4 1 2 0 0 3 4 0 0 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.068, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
2014-11-08 Sat 18:14:50, DSJC250.1.col, HEA(PS=1|GC=1|IC=80000000|TB=0), 1415441690, 0.067, 13418, 0, 0, (8)2 1 1 2 4 5 3 2 0 3 4 1 0 6 7 7 3 7 7 3 5 2 7 2 6 4 5 6 4 0 4 3 6 7 3 4 5 2 7 5 3 7 4 5 3 5 6 0 1 2 3 2 4 1 6 0 4 3 2 5 2 0 0 2 0 5 2 1 0 6 4 6 4 4 2 6 4 2 7 0 4 2 6 2 1 3 6 7 2 0 2 6 3 0 5 1 3 2 1 7 3 2 1 7 0 4 7 6 4 6 3 7 6 0 2 3 3 4 1 7 1 5 4 7 1 5 7 4 1 5 5 4 7 0 7 1 7 5 0 0 5 7 5 1 3 5 7 6 3 5 5 2 0 1 5 1 1 7 2 2 1 5 5 7 1 0 0 0 0 7 4 2 7 5 4 2 7 2 1 7 4 3 1 4 5 6 5 2 3 3 0 3 3 7 7 3 4 1 7 6 1 0 5 6 2 2 6 4 5 3 7 6 6 1 2 2 2 6 0 4 7 1 6 5 4 5 6 4 7 2 4 6 7 1 3 4 0 1 4 6 3 0 0 7 3 2 3 5 4 1 
